date,host,backend,nx,num_runs,mean,stddev
20220928,daint,fortran,512,20,8.5,1.8496087779795347
20220928,daint,fortran,1024,20,11.3,1.8666040089734595
20220928,daint,fortran,2048,20,16.9,0.3077935056255462
20220928,daint,fortran,4096,20,32.25,2.653200649067184
20220928,daint,fortran,8192,20,56.2,1.399247918291146
20220928,daint,fortran,16384,20,105.05,1.6050905860647502
20220928,daint,fortran,32768,20,200.9,2.0235456115702615
20220928,daint,fortran,65536,20,393.05,1.9049796241485242
20220928,daint,fortran,131072,20,782.1,15.970037735182656
20220928,daint,gt:cpu_kfirst,512,20,6.130881537683308,0.06622434009762221
20220928,daint,gt:cpu_kfirst,1024,20,10.671569069381803,0.09576585408050449
20220928,daint,gt:cpu_kfirst,2048,20,18.616886937525123,0.0628986033333792
20220928,daint,gt:cpu_kfirst,4096,20,36.482368723955005,0.7292594849904875
20220928,daint,gt:cpu_kfirst,8192,20,69.83969075372443,0.17430125954758813
20220928,daint,gt:cpu_kfirst,16384,20,139.42479117540643,0.06634802358544808
20220928,daint,gt:cpu_kfirst,32768,20,275.9650368709117,2.7667725597174746
20220928,daint,gt:cpu_kfirst,65536,20,557.4666609987617,4.0197903407851605
20220928,daint,gt:cpu_kfirst,131072,20,1116.313503938727,4.922594920991973
20220928,daint,gt:cpu_ifirst,512,20,8.133333106525242,0.04159906308522356
20220928,daint,gt:cpu_ifirst,1024,20,13.835166406352073,0.05646592517210594
20220928,daint,gt:cpu_ifirst,2048,20,25.621964363381267,0.10994932947359069
20220928,daint,gt:cpu_ifirst,4096,20,50.75168564217165,1.8067026776748702
20220928,daint,gt:cpu_ifirst,8192,20,95.39899036753923,0.25222128531533267
20220928,daint,gt:cpu_ifirst,16384,20,186.96943825343624,3.145279097793259
20220928,daint,gt:cpu_ifirst,32768,20,370.3806583303958,2.559072530494945
20220928,daint,gt:cpu_ifirst,65536,20,804.0708681917749,1.7405037478428471
20220928,daint,gt:cpu_ifirst,131072,20,1665.1654979679734,2.7934162870018007
20220928,daint,cuda,512,20,13.292061048559844,0.4797872945760229
20220928,daint,cuda,1024,20,13.115865213330835,0.05863412564676454
20220928,daint,cuda,2048,20,13.296370394527912,0.09119146167391502
20220928,daint,cuda,4096,20,24.511063599493355,0.0720335138052792
20220928,daint,cuda,8192,20,37.40983437746763,0.11700117562530887
20220928,daint,cuda,16384,20,64.33451772900298,0.1267235361564647
20220928,daint,cuda,32768,20,125.27938651619479,0.11761567231946213
20220928,daint,dace:gpu,512,20,8.508105226792395,0.35755026716606114
20220928,daint,dace:gpu,1024,20,8.425599231850356,0.45381181459247083
20220928,daint,dace:gpu,2048,20,8.149176859296858,0.36919641699279127
20220928,daint,dace:gpu,4096,20,8.213600586168468,0.22916857583119524
20220928,daint,dace:gpu,8192,20,10.588356130756438,0.5090540957845269
20220928,daint,dace:gpu,16384,20,19.122796470765024,0.35128694465459864
20220928,daint,dace:gpu,32768,20,32.089965662453324,0.31819909644870464
20220928,daint,dace:gpu,65536,20,56.989108002744615,0.5773755625132861
20220928,daint,dace:gpu,131072,20,111.09759141691029,0.4172626135292229
